,i,x_med,y_med,at_med,quality_flag,bathy_conf,sat_flag,sat_check,n_photons,surf_prom,surf_loc,surf_std,decay_param,trans_mult,noise_above,noise_below,bathy_prom,bathy_loc,bathy_std,surf_prom_f,surf_loc_f,surf_std_f,decay_param_f,trans_mult_f,noise_above_f,noise_below_f,bathy_prom_f,bathy_loc_f,bathy_std_f,turb_score
10,10,-75.49367461370878,35.39519431408346,16133131.999269094,3,1.2660936627128196,0,False,957,55.1489915773795,-0.6301862328569197,0.6028024207109253,-0.021612543772795655,2.7438509587425486,0.5648481378875017,1e-31,1.6616863877099484,18.154292872576082,0.1776463977555684,,,,,,,,,,,154.64014380246027
11,11,-75.49407899914607,35.39283533053455,16133396.054221181,3,1.2610367576017267,0,False,910,94.33979687212317,-1.0358930286253443,0.5458653339090846,-0.00837239555418307,3.0502028551187075,0.7287527777181261,1e-31,1.5355285518739636,32.95470380177686,0.2939386087657315,,,,,,,,,,,145.202582515341
12,12,-75.49442861866761,35.39073202102424,16133631.412816243,3,1.1371372101462518,0,False,851,45.73030736202545,-0.5115380573337948,0.3979266762247492,-1e-31,10.0,0.9561793716572706,1e-31,1.425965334608619,39.12229181410339,0.73725546836718,,,,,,,,,,,1.6405632147164066e-18
13,13,-75.49477309281724,35.38871230419248,16133857.4055358,3,1.39111672080506,1,True,1586,296.179572382252,-0.15816504918028698,0.3785588709314391,-0.07207514786133812,3.0087790498674796,0.5000000000000001,1e-31,2.027651991119912,20.108596805977285,0.1709529471307384,,,,,,,,,,,172.40452437890372
14,14,-75.49516604991925,35.38638664223017,16134117.628367672,3,1.195118949803599,0,False,1436,313.1595116127316,0.12656960813476428,0.2877223831972034,-0.10945660409696555,2.815213717470257,0.9557386282903382,1e-31,1.4135098593279658,39.288461639942774,0.946989865693531,,,,,,,,,,,215.0455499289969
15,15,-75.49556027508257,35.38409175593124,16134374.528735949,3,1.2202049721034467,0,False,1055,99.15991729373782,-0.4857873933269556,0.5168071232251207,-0.001742252060784718,3.097867517786916,0.4993375670568734,1e-31,1.7346796287319084,28.625115948079277,0.20134696553990913,,,,,,,,,,,153.5883776817265
16,16,-75.49603550593598,35.38136335228104,16134679.965137916,3,1.2816543813461203,0,True,1241,171.87144082532183,-0.23938282193635527,0.2846833174683304,-0.05846571731271006,2.9506470820632,0.773014149427788,1e-31,1.6870573572586791,27.300847030868173,0.20258842251232925,,,,,,,,,,,143.75755113664795
17,17,-75.49634032614505,35.37956098657933,16134881.684380138,3,1.4198449427130957,0,False,927,76.96612588879759,-0.5601041194990057,0.5097786050471278,-0.011915138658649155,2.967955078970268,0.7730115136423317,1e-31,2.16769775807444,43.848241893431805,0.20339772474148354,,,,,,,,,,,139.60007210173768
18,18,-75.4967398160535,35.37726994721028,16135138.154738067,3,1.0104217584430044,0,False,829,87.64257846825282,-0.7040957104347998,0.35980204284589723,-0.01610189376562762,2.932167898923954,0.5867584520588665,1e-31,0.859349820465962,5.133835542195617,0.12402402107032888,,,,,,,,,,,163.27785546067767
19,19,-75.49713721739093,35.37497237622136,16135395.339183299,3,1.0102482586157573,0,False,879,81.7220041244871,-0.5495698519097083,0.4268549196963683,-0.013539923257096024,2.923710006406233,0.8043343831151157,1e-31,1.6213421135432515,49.87499999999999,0.1490577724597372,,,,,,,,,,,163.5023921789559
